ºìÇò25Âë 01,03,04,05,06,07,08,09,10,11,12,13,14,15,17,19,21,22,23,24,25,26,29,31,32
ºìÇò25Âë 02,03,05,06,07,09,11,12,13,14,15,16,17,18,19,20,22,23,24,25,27,29,30,31,33
ºìÇò25Âë 01,02,03,04,05,07,08,10,13,14,15,17,19,20,22,23,25,26,27,28,29,30,31,32,33
ºìÇò25Âë 01,02,03,04,05,06,07,08,09,10,11,15,16,19,20,22,23,24,25,26,27,30,31,32,33
ºìÇò25Âë 02,03,04,05,07,08,09,10,11,14,15,16,17,18,19,20,21,23,24,25,26,27,29,32,33
ºìÇò25Âë 02,03,05,07,09,10,12,13,14,16,17,19,20,21,22,23,24,26,27,28,29,30,31,32,33
ºìÇò25Âë 01,04,06,07,08,09,10,11,12,13,14,15,17,18,20,22,23,24,25,27,28,29,30,32,33
ºìÇò25Âë 01,02,03,06,07,08,10,12,14,15,16,17,18,19,20,21,24,25,26,27,28,29,30,31,33
ºìÇò25Âë 01,02,03,04,05,06,07,08,09,11,13,15,16,17,19,20,21,22,24,25,27,29,30,31,32
ºìÇò25Âë 01,02,04,05,07,08,09,10,11,12,13,14,16,18,19,20,23,24,25,26,29,30,31,32,33
ºìÇò25Âë 01,02,03,04,05,06,08,09,11,12,13,14,16,17,18,19,20,21,22,24,27,29,30,32,33
ºìÇò25Âë 01,02,03,04,05,06,07,08,09,10,11,14,15,16,17,19,21,22,23,24,25,27,28,31,32
ºìÇò25Âë 01,03,07,08,09,10,11,13,14,15,17,18,19,20,21,22,23,24,25,27,28,30,31,32,33
ºìÇò25Âë 01,03,04,05,07,08,09,10,11,12,13,14,15,16,17,20,21,22,23,24,25,26,27,32,33
ºìÇò25Âë 02,03,04,05,06,07,08,09,10,12,13,14,15,17,18,19,20,21,23,24,25,27,29,31,33
ºìÇò25Âë 01,02,03,04,06,07,09,11,12,14,15,16,18,19,20,21,23,24,25,26,27,28,30,31,32
ºìÇò25Âë 01,04,05,06,07,08,09,10,11,14,15,17,18,19,20,21,22,23,24,25,27,28,30,31,32
ºìÇò25Âë 01,02,04,05,06,07,08,12,14,15,16,17,18,19,20,21,22,23,25,26,28,29,30,32,33
ºìÇò25Âë 02,04,05,06,07,08,10,11,12,13,14,16,18,19,20,21,23,24,25,26,27,28,30,31,32
ºìÇò25Âë 02,03,04,05,07,09,10,12,13,14,15,16,17,18,19,20,21,23,24,26,27,29,31,32,33
ºìÇò25Âë 01,02,03,04,05,06,07,08,10,11,13,14,15,16,18,19,21,23,24,26,28,29,31,32,33
ºìÇò25Âë 01,03,04,05,07,09,10,12,13,14,16,17,18,19,20,21,22,24,25,26,27,28,29,30,33
ºìÇò25Âë 02,03,04,05,06,07,08,09,11,12,14,16,18,20,23,24,25,26,27,28,29,30,31,32,33
ºìÇò25Âë 02,03,05,06,08,10,11,14,15,16,17,18,19,21,22,23,24,25,26,28,29,30,31,32,33
ºìÇò25Âë 01,02,03,04,05,06,08,10,12,13,14,15,16,17,18,20,22,24,25,27,28,29,30,31,32
ºìÇò25Âë 01,02,03,04,05,06,08,10,12,13,14,15,16,17,18,20,21,22,24,25,26,27,28,32,33
ºìÇò25Âë 01,02,03,04,07,08,09,11,12,14,15,16,17,20,21,22,23,24,25,27,28,29,30,32,33
ºìÇò25Âë 01,03,04,05,06,07,08,09,10,11,13,14,15,16,18,19,21,22,23,25,27,29,30,32,33
ºìÇò25Âë 01,02,03,05,06,07,08,09,10,12,14,16,17,18,19,20,21,22,23,24,25,27,28,29,31
ºìÇò25Âë 02,03,04,05,06,07,08,10,11,13,15,16,17,18,20,21,22,23,24,25,27,28,29,32,33
ºìÇò25Âë 01,02,03,04,05,06,07,09,11,12,14,15,18,19,20,22,23,25,26,27,28,29,31,32,33
ºìÇò´óµ×25Âë 01,02,03,04,05,07,08,09,10,11,12,13,14,15,19,20,21,23,24,25,26,28,29,30,32
ºìÇò´óµ×25Âë 01,02,03,04,05,06,07,08,10,12,14,16,17,18,19,20,23,24,25,27,28,29,30,32,33
ºìÇò´óµ×25Âë 01,02,03,04,05,06,07,08,09,10,11,14,15,16,17,20,23,25,26,27,28,29,30,31,32
ºìÇò´óµ×25Âë 01,02,03,04,05,07,08,09,10,11,12,13,14,15,17,18,21,22,23,24,25,26,29,32,33
ºìÇò´óµ×25Âë 02,03,06,07,08,09,10,11,13,14,15,16,17,19,20,21,22,25,26,27,29,30,31,32,33
